KIT ID,Текущий путь KIT,Текущая категория,Родитель KIT,Скрыта в меню,Дубль названия в KIT,Дубль полного пути,Предлагаемое название,Путь Ozon,Уровень Ozon,Ozon description_category_id,Ozon type_id,Тип совпадения,Оценка совпадения,Уверенность,Предлагаемое действие,Комментарий
01980d43-25c4-7194-953b-5ecbc16248b5,Категория 1-го уровня,Категория 1-го уровня,,Да,Нет,Нет,Кайт,Спорт и отдых > Водный спорт и отдых на воде > Кайт,type,,970739435,Нечёткое совпадение,67.9,Низкая,Проверить вручную,"Совпадение с типом товара Ozon, а не промежуточной категорией. Автоматическое переименование небезопасно."
019a5a68-bbcb-7704-9899-6892f99c801e,Не указана,Не указана,,Да,Нет,Нет,Не указана,,,,,Служебная категория,100.0,Служебная,Не менять,Служебная категория KIT; не приводить к Ozon автоматически.
019a5a68-e33f-7d12-ae77-60b69fce7493,Мебель,Мебель,,Нет,Нет,Нет,Мебель,Мебель,category,17027915,,Точное совпадение,100.0,Высокая,Оставить,
019a5a68-e346-7b3b-9949-7fab5a71932d,Мебель > Комоды и тумбы,Комоды и тумбы,Мебель,Да,Нет,Нет,Комоды и тумбы,Мебель > Комоды и тумбы,category,80711064,,Точное совпадение,100.0,Высокая,Оставить,
019a5a68-e34d-7d06-8002-92f3a4504010,Мебель > Комоды и тумбы > Комод,Комод,Комоды и тумбы,Нет,Нет,Нет,Комод,Мебель > Комоды и тумбы > Комод,type,,95086,Точное совпадение,100.0,Высокая,Оставить,"Совпадение с типом товара Ozon, а не промежуточной категорией."
019a5a68-e354-71b1-b01a-f3c9700c36cd,Мебель > Компьютерные и офисные кресла,Компьютерные и офисные кресла,Мебель,Нет,Нет,Нет,Компьютерные и офисные кресла,Мебель > Компьютерные и офисные кресла,category,79164512,,Точное совпадение,100.0,Высокая,Оставить,
019a5a68-e35a-769c-bbc2-a54b0f481466,Мебель > Компьютерные и офисные кресла > Офисное кресло,Офисное кресло,Компьютерные и офисные кресла,Нет,Нет,Нет,Офисное кресло,Мебель > Компьютерные и офисные кресла > Офисное кресло,type,,95041,Точное совпадение,100.0,Высокая,Оставить,"Совпадение с типом товара Ozon, а не промежуточной категорией."
019a5a68-e360-7b41-87b6-7531587a6f09,"Мебель > Стулья, скамьи, табуреты, пуфики","Стулья, скамьи, табуреты, пуфики",Мебель,Нет,Нет,Нет,"Стулья, скамьи, табуреты, пуфики","Мебель > Стулья, скамьи, табуреты, пуфики",category,17027916,,Точное совпадение,100.0,Высокая,Оставить,
019a5a68-e366-7ea7-b6b4-dac15e557fbc,"Мебель > Стулья, скамьи, табуреты, пуфики > Стул",Стул,"Стулья, скамьи, табуреты, пуфики",Нет,Да,Нет,Стул,"Мебель > Стулья, скамьи, табуреты, пуфики > Стул",type,,95048,Точное совпадение,100.0,Высокая,Оставить,"Название встречается в KIT несколько раз. Совпадение с типом товара Ozon, а не промежуточной категорией."
019a5a68-e36d-725e-9e50-cdda9941ee01,Мебель > Шкафы,Шкафы,Мебель,Нет,Да,Нет,Шкафы,Мебель > Шкафы,category,17027919,,Точное совпадение,100.0,Высокая,Оставить,Название встречается в KIT несколько раз.
