sku;name;model;color;support_color;retail_price;purchase_price;old_price;stock;brand;category;url;description;images;characteristics;variants
ACX5259;Артикул: ACX5259;AccordX D52/S59;Тёмный бетон;;13000;;;;;;https://stol-transformer.ru/showcase/stol-transformer-zhurnalnyj-levmar-x-accord-d52s59-8-polozhenij-vysoty-60-h-91-h-40-sm-tyomnyj-beton-ozon-ACX5259;Каталог столов-трансформеров Levmar — модели, расцветки, характеристики.;https://stol-transformer.ru/uploads/products/470/ozon-0.jpg | https://stol-transformer.ru/uploads/products/470/ozon-1.jpg | https://stol-transformer.ru/uploads/products/470/ozon-2.jpg | https://stol-transformer.ru/uploads/products/470/ozon-3.jpg | https://stol-transformer.ru/uploads/products/470/ozon-4.jpg | https://stol-transformer.ru/uploads/products/470/ozon-5.jpg | https://stol-transformer.ru/uploads/swatches/color-28-1788632415731.webp | https://stol-transformer.ru/uploads/swatches/color-26-1788632415700.webp | https://stol-transformer.ru/uploads/swatches/color-12-1788632415368.webp | https://stol-transformer.ru/uploads/swatches/color-25-1788632415675.webp | https://stol-transformer.ru/uploads/swatches/color-10-1788632415292.webp | https://stol-transformer.ru/uploads/swatches/color-32-1788632415854.webp | https://stol-transformer.ru/uploads/swatches/color-36-1788732461035.webp | https://stol-transformer.ru/uploads/swatches/color-29-1788632415765.webp | https://stol-transformer.ru/uploads/swatches/color-31-1788632415830.webp | https://stol-transformer.ru/uploads/swatches/color-15-1788632415470.webp | https://stol-transformer.ru/uploads/swatches/color-14-1788632415441.webp | https://stol-transformer.ru/uploads/swatches/color-13-1788632415402.webp | https://stol-transformer.ru/uploads/swatches/color-11-1788632415333.webp | https://stol-transformer.ru/uploads/swatches/color-16-1788632415512.webp | https://stol-transformer.ru/uploads/swatches/color-17-1788632415547.webp | https://stol-transformer.ru/uploads/swatches/color-23-1788632415605.webp | https://stol-transformer.ru/uploads/swatches/color-44-1788733009964.webp | https://stol-transformer.ru/uploads/swatches/color-45-1788733009975.webp | https://stol-transformer.ru/uploads/swatches/color-41-1788733009947.webp | https://stol-transformer.ru/uploads/swatches/color-20-1788632415591.webp | https://stol-transformer.ru/uploads/swatches/color-19-1788632415579.webp | https://stol-transformer.ru/uploads/swatches/color-18-1788632415566.webp | https://stol-transformer.ru/uploads/swatches/color-37-1788732461101.webp;"{""Модель"": ""AccordX D52/S59"", ""Размеры"": ""91(120)x60x76"", ""Цвет столешницы"": ""Тёмный бетон"", ""Материал столешницы"": ""ЛДСП"", ""Толщина столешницы, мм"": ""16"", ""Длина столешницы, см"": ""91"", ""Длина столешницы в разложенном виде, см"": ""120"", ""Ширина столешницы, см"": ""60"", ""Высота, см"": ""76"", ""Форма столешницы"": ""Прямоугольник"", ""Цвет каркаса"": ""серебристый"", ""Регулировка по высоте"": ""Да"", ""Вес с упаковкой"": ""35.5 кг""}";{}
AR9553;Артикул: AR9553;Accord-R D95/S53;Белый мрамор/опоры черные;;15600;;;;;;https://stol-transformer.ru/showcase/stol-transformer-zhurnalnyj-levmar-accord-r-d95s53-belyj-mramor-ozon-AR9553;Каталог столов-трансформеров Levmar — модели, расцветки, характеристики.;https://stol-transformer.ru/uploads/products/807/ozon-0.jpg | https://stol-transformer.ru/uploads/products/807/ozon-1.jpg | https://stol-transformer.ru/uploads/products/807/ozon-2.jpg | https://stol-transformer.ru/uploads/products/807/ozon-3.jpg | https://stol-transformer.ru/uploads/products/807/ozon-4.jpg | https://stol-transformer.ru/uploads/products/807/ozon-5.jpg | https://stol-transformer.ru/uploads/products/807/ozon-6.jpg | https://stol-transformer.ru/uploads/products/807/ozon-7.jpg | https://stol-transformer.ru/uploads/products/807/ozon-8.jpg | https://stol-transformer.ru/uploads/products/807/ozon-9.jpg | https://stol-transformer.ru/uploads/products/807/ozon-10.jpg | https://stol-transformer.ru/uploads/products/807/ozon-11.jpg | https://stol-transformer.ru/uploads/products/807/ozon-12.jpg | https://stol-transformer.ru/uploads/products/807/ozon-13.jpg | https://stol-transformer.ru/uploads/products/807/ozon-14.jpg | https://stol-transformer.ru/uploads/products/807/ozon-15.jpg | https://stol-transformer.ru/uploads/products/807/ozon-16.jpg | https://stol-transformer.ru/uploads/products/807/ozon-17.jpg | https://stol-transformer.ru/uploads/products/807/ozon-18.jpg | https://stol-transformer.ru/uploads/products/807/ozon-19.jpg | https://stol-transformer.ru/uploads/swatches/color-15-1788632415470.webp | https://stol-transformer.ru/uploads/swatches/color-16-1788632415512.webp | https://stol-transformer.ru/uploads/swatches/color-13-1788632415402.webp | https://stol-transformer.ru/uploads/swatches/color-11-1788632415333.webp | https://stol-transformer.ru/uploads/swatches/color-17-1788632415547.webp;"{""Модель"": ""Accord-R D95/S53"", ""Размеры"": ""95(160)x64x76"", ""Цвет столешницы"": ""Белый мрамор/опоры черные"", ""Материал столешницы"": ""ЛДСП"", ""Толщина столешницы, мм"": ""16"", ""Длина столешницы, см"": ""95"", ""Длина столешницы в разложенном виде, см"": ""160"", ""Ширина столешницы, см"": ""64"", ""Высота, см"": ""76"", ""Форма столешницы"": ""Прямоугольник"", ""Цвет каркаса"": ""белый"", ""Регулировка по высоте"": ""Да"", ""Вес товара"": ""28 кг"", ""Вес с упаковкой"": ""35.5 кг""}";{}
BS3979;Артикул: BS3979;Cross-Box D39/S79;дуб каселла коричневый;;29500;;;;;;https://stol-transformer.ru/showcase/stol-transformer-basic-d39s79-dub-kasella-korichnevyjnerzh-stal-ozon-BS39;Каталог столов-трансформеров Levmar — модели, расцветки, характеристики.;https://stol-transformer.ru/uploads/products/709/ozon-0.jpg | https://stol-transformer.ru/uploads/products/709/ozon-1.jpg | https://stol-transformer.ru/uploads/products/709/ozon-2.jpg | https://stol-transformer.ru/uploads/products/709/ozon-3.jpg | https://stol-transformer.ru/uploads/products/709/ozon-4.jpg | https://stol-transformer.ru/uploads/swatches/color-24-1788632415639.webp | https://stol-transformer.ru/uploads/swatches/color-19-1788632415579.webp | https://stol-transformer.ru/uploads/swatches/color-43-1788732461110.webp;"{""Модель"": ""Cross-Box D39/S79"", ""Размеры"": ""115(202)x81x76"", ""Цвет столешницы"": ""дуб каселла коричневый"", ""Материал столешницы"": ""ЛМДФ"", ""Толщина столешницы, мм"": ""16"", ""Длина столешницы, см"": ""115"", ""Длина столешницы в разложенном виде, см"": ""202"", ""Ширина столешницы, см"": ""81"", ""Высота, см"": ""76"", ""Форма столешницы"": ""Прямоугольник"", ""Цвет каркаса"": ""нержавеющая сталь"", ""Регулировка по высоте"": ""Да"", ""Вес товара"": ""46 кг"", ""Вес с упаковкой"": ""56 кг""}";{}
CMP1564;Артикул: CMP1564;Compact G15S64;Белый;;24700;;;;;;https://stol-transformer.ru/showcase/stol-transformer-compact-g15s64-ozon-CMP1564;Каталог столов-трансформеров Levmar — модели, расцветки, характеристики.;https://stol-transformer.ru/uploads/products/571/ozon-0.jpg | https://stol-transformer.ru/uploads/products/571/ozon-1.jpg | https://stol-transformer.ru/uploads/products/571/ozon-2.jpg | https://stol-transformer.ru/uploads/products/571/ozon-3.jpg | https://stol-transformer.ru/uploads/swatches/color-17-1788632415547.webp | https://stol-transformer.ru/uploads/swatches/color-34-1788632415892.webp | https://stol-transformer.ru/uploads/swatches/color-18-1788632415566.webp | https://stol-transformer.ru/uploads/swatches/color-19-1788632415579.webp | https://stol-transformer.ru/uploads/swatches/color-20-1788632415591.webp | https://stol-transformer.ru/uploads/swatches/color-37-1788732461101.webp;"{""Модель"": ""Compact G15S64"", ""Размеры"": ""70(140)x100x76"", ""Цвет столешницы"": ""Белый"", ""Материал столешницы"": ""ЛМДФ"", ""Толщина столешницы, мм"": ""18"", ""Длина столешницы, см"": ""70"", ""Длина столешницы в разложенном виде, см"": ""140"", ""Ширина столешницы, см"": ""100"", ""Высота, см"": ""76"", ""Форма столешницы"": ""Прямоугольник"", ""Цвет каркаса"": ""белый"", ""Регулировка по высоте"": ""Да"", ""Вес с упаковкой"": ""45 кг""}";{}
CR3879;Артикул: CR3879;Cross D38/S79 (дуб вотан/нерж. сталь);дуб вотан;;25700;;;;;;https://stol-transformer.ru/showcase/stol-transformer-cross-d38s79-dub-votannerzh-stal-ozon-CR3879;Каталог столов-трансформеров Levmar — модели, расцветки, характеристики.;https://stol-transformer.ru/uploads/products/572/ozon-0.jpg | https://stol-transformer.ru/uploads/products/572/ozon-1.jpg | https://stol-transformer.ru/uploads/products/572/ozon-2.jpg | https://stol-transformer.ru/uploads/products/572/ozon-3.jpg | https://stol-transformer.ru/uploads/products/572/ozon-4.jpg | https://stol-transformer.ru/uploads/products/572/ozon-5.jpg | https://stol-transformer.ru/uploads/swatches/color-11-1788632415333.webp | https://stol-transformer.ru/uploads/swatches/color-16-1788632415512.webp | https://stol-transformer.ru/uploads/swatches/color-28-1788632415731.webp | https://stol-transformer.ru/uploads/swatches/color-14-1788632415441.webp | https://stol-transformer.ru/uploads/swatches/color-25-1788632415675.webp | https://stol-transformer.ru/uploads/swatches/color-26-1788632415700.webp | https://stol-transformer.ru/uploads/swatches/color-13-1788632415402.webp | https://stol-transformer.ru/uploads/swatches/color-10-1788632415292.webp | https://stol-transformer.ru/uploads/swatches/color-31-1788632415830.webp | https://stol-transformer.ru/uploads/swatches/color-17-1788632415547.webp | https://stol-transformer.ru/uploads/swatches/color-12-1788632415368.webp | https://stol-transformer.ru/uploads/swatches/color-15-1788632415470.webp | https://stol-transformer.ru/uploads/swatches/color-19-1788632415579.webp | https://stol-transformer.ru/uploads/swatches/color-18-1788632415566.webp | https://stol-transformer.ru/uploads/swatches/color-43-1788732461110.webp | https://stol-transformer.ru/uploads/swatches/color-37-1788732461101.webp;"{""Модель"": ""Cross D38/S79 (дуб вотан/нерж. сталь)"", ""Размеры"": ""80(202)x101x76"", ""Цвет столешницы"": ""дуб вотан"", ""Материал столешницы"": ""ЛДСП"", ""Толщина столешницы, мм"": ""22"", ""Длина столешницы, см"": ""80"", ""Длина столешницы в разложенном виде, см"": ""202"", ""Ширина столешницы, см"": ""101"", ""Высота, см"": ""76"", ""Форма столешницы"": ""Прямоугольник"", ""Цвет каркаса"": ""нержавеющая сталь"", ""Регулировка по высоте"": ""Да"", ""Вес с упаковкой"": ""56 кг""}";{}
EDG6853;Артикул: EDG6853;EDGE D68/S53;Дуб Шамони светлый;;19900;;;;;;https://stol-transformer.ru/showcase/stol-kuhonnyj-razdvizhnoj-edge-d68s53-1101565-203h80h76sm-ozon-EDG6853;Каталог столов-трансформеров Levmar — модели, расцветки, характеристики.;https://stol-transformer.ru/uploads/products/476/ozon-0.jpg | https://stol-transformer.ru/uploads/products/476/ozon-1.jpg | https://stol-transformer.ru/uploads/products/476/ozon-2.jpg | https://stol-transformer.ru/uploads/products/476/ozon-3.jpg | https://stol-transformer.ru/uploads/products/476/ozon-4.jpg | https://stol-transformer.ru/uploads/products/476/ozon-5.jpg | https://stol-transformer.ru/uploads/products/476/ozon-6.jpg | https://stol-transformer.ru/uploads/products/476/ozon-7.jpg | https://stol-transformer.ru/uploads/products/476/ozon-8.jpg | https://stol-transformer.ru/uploads/products/476/ozon-9.jpg | https://stol-transformer.ru/uploads/products/476/ozon-10.jpg | https://stol-transformer.ru/uploads/products/476/ozon-11.jpg | https://stol-transformer.ru/uploads/products/476/ozon-12.jpg | https://stol-transformer.ru/uploads/products/476/ozon-13.jpg | https://stol-transformer.ru/uploads/products/476/ozon-14.jpg | https://stol-transformer.ru/uploads/products/476/ozon-15.jpg | https://stol-transformer.ru/uploads/products/476/ozon-16.jpg | https://stol-transformer.ru/uploads/products/476/ozon-17.jpg | https://stol-transformer.ru/uploads/products/476/ozon-18.jpg | https://stol-transformer.ru/uploads/swatches/color-25-1788632415675.webp | https://stol-transformer.ru/uploads/swatches/color-26-1788632415700.webp | https://stol-transformer.ru/uploads/swatches/color-13-1788632415402.webp | https://stol-transformer.ru/uploads/swatches/color-28-1788632415731.webp | https://stol-transformer.ru/uploads/swatches/color-11-1788632415333.webp | https://stol-transformer.ru/uploads/swatches/color-15-1788632415470.webp | https://stol-transformer.ru/uploads/swatches/color-17-1788632415547.webp | https://stol-transformer.ru/uploads/swatches/color-14-1788632415441.webp | https://stol-transformer.ru/uploads/swatches/color-10-1788632415292.webp | https://stol-transformer.ru/uploads/swatches/color-12-1788632415368.webp | https://stol-transformer.ru/uploads/swatches/color-16-1788632415512.webp | https://stol-transformer.ru/uploads/swatches/color-19-1788632415579.webp | https://stol-transformer.ru/uploads/swatches/color-20-1788632415591.webp | https://stol-transformer.ru/uploads/swatches/color-18-1788632415566.webp | https://stol-transformer.ru/uploads/swatches/color-37-1788732461101.webp;"{""Модель"": ""EDGE D68/S53"", ""Размеры"": ""110(203)x80x76"", ""Цвет столешницы"": ""Дуб Шамони светлый"", ""Материал столешницы"": ""ЛДСП"", ""Толщина столешницы, мм"": ""22"", ""Длина столешницы, см"": ""110"", ""Длина столешницы в разложенном виде, см"": ""203"", ""Ширина столешницы, см"": ""80"", ""Высота, см"": ""76"", ""Форма столешницы"": ""Прямоугольник"", ""Цвет каркаса"": ""чёрный"", ""Регулировка по высоте"": ""Нет"", ""Вес товара"": ""45 кг"", ""Вес с упаковкой"": ""65 кг""}";{}
FLS7890;Артикул: FLS7890;Flash D78/S90;Белый;;11550;;;;;;https://stol-transformer.ru/showcase/stol-transformer-knizhka-flash-d78s90-135-h-45-h-76-sm-belyj-ozon-FLS7890;Каталог столов-трансформеров Levmar — модели, расцветки, характеристики.;https://stol-transformer.ru/uploads/products/673/ozon-0.jpg | https://stol-transformer.ru/uploads/products/673/ozon-1.jpg | https://stol-transformer.ru/uploads/products/673/ozon-2.jpg | https://stol-transformer.ru/uploads/products/673/ozon-3.jpg | https://stol-transformer.ru/uploads/products/673/ozon-4.jpg | https://stol-transformer.ru/uploads/products/673/ozon-5.jpg | https://stol-transformer.ru/uploads/swatches/color-17-1788632415547.webp | https://stol-transformer.ru/uploads/swatches/color-16-1788632415512.webp | https://stol-transformer.ru/uploads/swatches/color-12-1788632415368.webp | https://stol-transformer.ru/uploads/swatches/color-31-1788632415830.webp | https://stol-transformer.ru/uploads/swatches/color-10-1788632415292.webp | https://stol-transformer.ru/uploads/swatches/color-14-1788632415441.webp | https://stol-transformer.ru/uploads/swatches/color-26-1788632415700.webp | https://stol-transformer.ru/uploads/swatches/color-11-1788632415333.webp | https://stol-transformer.ru/uploads/swatches/color-15-1788632415470.webp | https://stol-transformer.ru/uploads/swatches/color-25-1788632415675.webp | https://stol-transformer.ru/uploads/swatches/color-13-1788632415402.webp | https://stol-transformer.ru/uploads/swatches/color-32-1788632415854.webp | https://stol-transformer.ru/uploads/swatches/color-28-1788632415731.webp | https://stol-transformer.ru/uploads/swatches/color-18-1788632415566.webp | https://stol-transformer.ru/uploads/swatches/color-19-1788632415579.webp | https://stol-transformer.ru/uploads/swatches/color-20-1788632415591.webp | https://stol-transformer.ru/uploads/swatches/color-37-1788732461101.webp;"{""Модель"": ""Flash D78/S90"", ""Размеры"": ""45(90)x135x76"", ""Цвет столешницы"": ""Белый"", ""Материал столешницы"": ""ЛДСП"", ""Толщина столешницы, мм"": ""22"", ""Длина столешницы, см"": ""45"", ""Длина столешницы в разложенном виде, см"": ""90"", ""Ширина столешницы, см"": ""135"", ""Высота, см"": ""76"", ""Форма столешницы"": ""Прямоугольник"", ""Цвет каркаса"": ""золотой"", ""Регулировка по высоте"": ""Нет"", ""Вес товара"": ""40 кг"", ""Вес с упаковкой"": ""40 кг""}";{}
GNT2653;Артикул: GNT2653;GNT D26/S53;Черный древесный;;23900;;;;;;https://stol-transformer.ru/showcase/stol-konsol-transformer-stol-obedennyj-razdvizhnoj-giant-d26s53-chernyj-drevesnyj-ozon-GNT26;Каталог столов-трансформеров Levmar — модели, расцветки, характеристики.;https://stol-transformer.ru/uploads/products/675/ozon-0.jpg | https://stol-transformer.ru/uploads/products/675/ozon-1.jpg | https://stol-transformer.ru/uploads/products/675/ozon-2.jpg | https://stol-transformer.ru/uploads/products/675/ozon-3.jpg | https://stol-transformer.ru/uploads/products/675/ozon-4.jpg | https://stol-transformer.ru/uploads/products/675/ozon-5.jpg | https://stol-transformer.ru/uploads/products/675/ozon-6.jpg | https://stol-transformer.ru/uploads/swatches/color-30-1788632415803.webp | https://stol-transformer.ru/uploads/swatches/color-11-1788632415333.webp | https://stol-transformer.ru/uploads/swatches/color-17-1788632415547.webp | https://stol-transformer.ru/uploads/swatches/color-15-1788632415470.webp | https://stol-transformer.ru/uploads/swatches/color-16-1788632415512.webp | https://stol-transformer.ru/uploads/swatches/color-10-1788632415292.webp | https://stol-transformer.ru/uploads/swatches/color-28-1788632415731.webp | https://stol-transformer.ru/uploads/swatches/color-13-1788632415402.webp | https://stol-transformer.ru/uploads/swatches/color-19-1788632415579.webp | https://stol-transformer.ru/uploads/swatches/color-20-1788632415591.webp | https://stol-transformer.ru/uploads/swatches/color-18-1788632415566.webp;"{""Модель"": ""GNT D26/S53"", ""Размеры"": ""35(235)x88x76"", ""Цвет столешницы"": ""Черный древесный"", ""Материал столешницы"": ""ЛДСП"", ""Толщина столешницы, мм"": ""16"", ""Длина столешницы, см"": ""35"", ""Длина столешницы в разложенном виде, см"": ""235"", ""Ширина столешницы, см"": ""88"", ""Высота, см"": ""76"", ""Форма столешницы"": ""Прямоугольник"", ""Цвет каркаса"": ""чёрный, черно-серый, чёрный матовый"", ""Регулировка по высоте"": ""Нет"", ""Вес товара"": ""69 кг"", ""Вес с упаковкой"": ""85 кг""}";{}
OPL9553;Артикул: OPL9553;Apollo-O E95/S53;Белый мрамор;;14990;;;;;;https://stol-transformer.ru/showcase/stol-kuhonnyj-ovalnyj-razdvizhnoj-obedennyj-levmar-apollo-o-d95s53-belyj-mramor-ozon-OPL9553;Каталог столов-трансформеров Levmar — модели, расцветки, характеристики.;https://stol-transformer.ru/uploads/products/696/ozon-0.jpg | https://stol-transformer.ru/uploads/products/696/ozon-1.jpg | https://stol-transformer.ru/uploads/products/696/ozon-2.jpg | https://stol-transformer.ru/uploads/products/696/ozon-3.jpg | https://stol-transformer.ru/uploads/products/696/ozon-4.jpg | https://stol-transformer.ru/uploads/products/696/ozon-5.jpg | https://stol-transformer.ru/uploads/products/696/ozon-6.jpg | https://stol-transformer.ru/uploads/products/696/ozon-7.jpg | https://stol-transformer.ru/uploads/products/696/ozon-8.jpg | https://stol-transformer.ru/uploads/swatches/color-15-1788632415470.webp | https://stol-transformer.ru/uploads/swatches/color-11-1788632415333.webp | https://stol-transformer.ru/uploads/swatches/color-16-1788632415512.webp | https://stol-transformer.ru/uploads/swatches/color-17-1788632415547.webp | https://stol-transformer.ru/uploads/swatches/color-12-1788632415368.webp | https://stol-transformer.ru/uploads/swatches/color-19-1788632415579.webp | https://stol-transformer.ru/uploads/swatches/color-18-1788632415566.webp;"{""Модель"": ""Apollo-O E95/S53"", ""Размеры"": ""100(150)x84x76"", ""Цвет столешницы"": ""Белый мрамор"", ""Материал столешницы"": ""ЛДСП"", ""Толщина столешницы, мм"": ""16"", ""Длина столешницы, см"": ""100"", ""Длина столешницы в разложенном виде, см"": ""150"", ""Ширина столешницы, см"": ""84"", ""Высота, см"": ""76"", ""Форма столешницы"": ""Овал"", ""Цвет каркаса"": ""чёрный"", ""Регулировка по высоте"": ""Да"", ""Вес товара"": ""40 кг"", ""Вес с упаковкой"": ""69 кг""}";{}
RISE-P03;Артикул: RISE-P03;Rise P03/S79;;;65000;;;;;;https://stol-transformer.ru/showcase/stol-transformer-rise-p03-legacy-102;Каталог столов-трансформеров Levmar — модели, расцветки, характеристики.;https://stol-transformer.ru/uploads/products/771/legacy-0.jpg | https://stol-transformer.ru/uploads/products/771/legacy-1.jpg | https://stol-transformer.ru/uploads/products/771/legacy-2.jpg | https://stol-transformer.ru/uploads/swatches/color-40-1788733009986.webp | https://stol-transformer.ru/uploads/swatches/color-38-1788733009996.webp | https://stol-transformer.ru/uploads/swatches/color-39-1788733010008.webp;"{""Модель"": ""Rise P03/S79"", ""Материал столешницы"": ""Керамогранит""}";{}
